project,c_hash,date,msg
daffodil,c095446be17b604bb5494e08462cc2210f58c8e6,2020-09-20 11:42:14-04:00,"Add C code generator and runtime2 backend

Add a new runtime2 backend to Daffodil with a C code generator and
libcli/libruntime libraries.  The C code generator implements a small
but still functional subset of DFDL 1.0 for binary data:

- binary boolean, integer, and real numbers
- arrays of simple and complex elements
- choice groups using dispatch/branch keys
- validation of ""fixed"" attributes
- padding of explicit length complex elements with fill bytes

Also add a new CLI subcommand ""daffodil generate"" to call the code
generator and modify the CLI subcommand ""daffodil test"" to support
running TDML tests with daffodil-runtime2.

We are documenting reviewer requested changes in [Runtime2
ToDos](https://daffodil.apache.org/dev/design-notes/runtime2-todos/).
We plan to address these changes while continuing to build out the C
code generator to implement more of the ""Runtime 2 Design"" table in
<https://cwiki.apache.org/confluence/display/DAFFODIL/WIP%3A+Daffodil+Runtime+2>.
Build requirements and instructions are in the top-level README.md and
BUILD.md files.

DAFFODIL-2202
______________________________________________________________________

- Changelog for selected files

main.yml: Use msys2 shell on windows, install runtime2 build
requirements, use explicit versions for actions and oses.

sonarclound.yml: Install runtime2 build requirements, use explicit
versions for actions and oses.

README.md: Fix or disable markdownlint warnings, wrap paragraphs, add
runtime2 build requirements, sort hyperlink tags alphabetically.

build.sbt: Add runtime2 project, allow environment variables CC and AR
to override cCompiler and ccArchiveCommand's default settings, ensure
C compiler test-builds C files in runtime2's resources, make tdmlProc
and cli depend on runtime2 because they call it, and add runtime2 to
daffodil-test's test classpath.

bin.LICENSE: Add os-lib license.

Main.scala: Add generate subcommand option.

Compiler.scala: Make ProcessorFactory.forLanguage call runtime2 using
Class.forName too avoid core dependency on runtime2.

ElementBase.scala, ElementDeclMixin.scala, ElementRef.scala: Add DSOM
getters for fixedAttr, hasFixedValue, fixedValueAsString & fixedValue,
make IDEA recommended fixes.

ElementBaseGrammarMixin.scala: Make IDEA recommended fixes.

ElementDeclGrammarMixin.scala: Give Runtime2CodeGenerator access to
RootGrammarMixin.documentElement.

Grammar.scala: Give Runtime2CodeGenerator access to
BinaryGram.children.

GrammarTerm.scala: Allow subclasses to override Gram.context and
change its type from SchemaComponent to ElementBase.

Production.scala: Give Runtime2CodeGenerator access to Prod.guard.

ElementCombinator.scala: Give Runtime2CodeGenerator access to
ElementParseAndUnspecifiedLength.{context, eBeforeContext, eValue,
eAfterValue, repTypeElementGram, subComb}, make IDEA recommended
fixes.

PrimitivesBinaryNumber.scala: Give Runtime2CodeGenerator access to
BinaryIntegerKnownLength.{signed, lengthInBits}.

SequenceCombinator.scala: Give Runtime2CodeGenerator access to
OrderedSequence.sequenceChildren, make IDEA recommended fixes.

tdml.xsd: Add daffodil-runtime2 to tdml:{defaultImplementations,
implementations}.

dafext.xsd: Add tdmlImplementation to tunables.

DFDLParserUnparser.scala: Add ProcessorFactory.forLanguage, trait
CodeGenerator, split half of DataProcessor into DataProcessorBase.

DataProcessor.scala: Minor cleanups.

TDMLRunner.scala: Create TDMLDFDLProcessorFactory or
Runtime2TDMLDFDLProcessorFactory object depending on
tdmlImplementation tunable and call cleanUp on parse/unparse results.

TDMLDFDLProcessor.scala: Add TDMLResult.cleanUp method.

DaffodilTDMLDFDLProcessor.scala: Implement
DaffodilTDMLParseResult.cleanUp method.

Runtime2TDMLDFDLProcessor.scala: Run TDML tests on runtime2 backend.
Use cleanUp to remove all temporary files.

choice-unparse2.tdml: Change model name from ""c"" to ""c1"" to avoid
conflict with daffodil-runtime2's ""c"" resources directory.

Dependencies.scala: Add os-lib dependency for writing C files.

Rat.scala: Ignore runtime2 tests' binary data files.

plugins.sbt: Add sbt-cc plugin so sbt can test-build C files.

sonar-project.properties: Make scan ignore C files since SonarCloud
CLI Docker action can't analyze them anyway.  Also prevent some scan
warnings."
groovy,cdf6f7d2b7ba88875f702267287225aec7f60152,2020-03-22 07:05:26+08:00,Support inspecting the code quality and security with SonarQube
groovy,b531f4463c7d1b279fd592d5005eb66bbd746e2e,2020-03-22 07:13:26+08:00,Add a badge of sonarcloud
groovy,4964082a52bf522b612969988f0ca7cb0eccfa17,2020-03-22 18:29:09+08:00,Enable xml format of jacoco report and tweak sonarcloud support
groovy,dafc5c2d0ef825cfd24e4f400646433be0e47d79,2020-03-22 22:58:32+08:00,Rename the project name of sonarcloud
groovy,45b64598cb191fd12b5eafcbf5bc1f636250bf48,2020-03-25 14:10:04+01:00,"Update package.html

Fix for https://sonarcloud.io/project/issues?id=apache_groovy&open=AXD-_jqMDC9Fk2pZiWTt&resolved=false&types=BUG"
groovy,27152f81912e4b717744cf5aae30d04efc528970,2020-03-28 21:07:14+08:00,"Close GCL finally

See https://sonarcloud.io/project/issues?id=apache_groovy&issues=AXD-_k5PDC9Fk2pZiXeD&open=AXD-_k5PDC9Fk2pZiXeD"
groovy,6a7d308169ceb1553bf86ff6a7698cdf36db8abe,2020-03-28 21:35:56+08:00,"Correct this ""&"" to ""&&"".

See https://sonarcloud.io/project/issues?id=apache_groovy&issues=AXD-_lJtDC9Fk2pZiXtT&open=AXD-_lJtDC9Fk2pZiXtT"
groovy,02c87c06c0dacc9822b515c1bbb6bbfda405b55a,2020-03-28 21:37:41+08:00,"Correct this ""&"" to ""&&"".

See https://sonarcloud.io/project/issues?id=apache_groovy&issues=AXD-_lJtDC9Fk2pZiXtU&open=AXD-_lJtDC9Fk2pZiXtU"
groovy,317aeb5aa5f0699a7ef72d625f1a2dda5a9b85a5,2020-05-20 22:57:00+02:00,Sonar https://sonarcloud.io/project/issues?id=apache_groovy&issues=AXD-_lfiDC9Fk2pZiX8q&open=AXD-_lfiDC9Fk2pZiX8q
groovy,aa398d570f7680b1b9ed413ca4fb8e5e97919d02,2020-05-24 17:27:02+02:00,"Sonar: Replace the type specification in this constructor call with the diamond operator (""<>"")"
groovy,7823ed095385dec88aa92cd20743ae3c13d22992,2020-07-04 17:50:12-05:00,Fix by https://sonarcloud.io/project/issues?fileUuids=AXD-_i77DC9Fk2pZiV4B&id=apache_groovy&resolved=false&severities=MINOR&types=BUG
groovy,30cdcf52dee7005ddae08ff9fb288d1d0daa472f,2020-07-04 17:52:08-05:00,Fix by https://sonarcloud.io/project/issues?fileUuids=AXD-_i77DC9Fk2pZiV4A&id=apache_groovy&resolved=false&severities=MINOR&types=BUG
groovy,9dc052cbf820f2a1542e5d87f89d61a930e0cdee,2020-09-18 12:07:57+10:00,GROOVY-9749: Bump sonarqube plugin to 3.0
